cosine,dice,jaccard,braycurtis,WER,CER
{'Models_transcriptions/RCF/RCFv4_1692-1706-1757': 0.025670965759967003},{'Models_transcriptions/RCF/RCFv4_1692-1706-1757': 0.974329034240032},{'Models_transcriptions/RCF/RCFv4_1692-1706-1757': 0.974329034240032},{'Models_transcriptions/RCF/RCFv4_1692-1706-1757': 0.974329034240032},{'Models_transcriptions/RCF/RCFv4_1692-1706-1757': 47.66183752063085},{'Models_transcriptions/RCF/RCFv4_1692-1706-1757': 14.740373571903524}
{'Models_transcriptions/Mcfondue/Mcfondue_1688': 0.125855337278718},{'Models_transcriptions/Mcfondue/Mcfondue_1688': 0.8741446627212811},{'Models_transcriptions/Mcfondue/Mcfondue_1688': 0.8741446627212811},{'Models_transcriptions/Mcfondue/Mcfondue_1688': 0.8741446627212811},{'Models_transcriptions/Mcfondue/Mcfondue_1688': 71.41848976711363},{'Models_transcriptions/Mcfondue/Mcfondue_1688': 28.650669239117327}
{'Models_transcriptions/RCF/RCFv4_1688': 0.07795131412320601},{'Models_transcriptions/RCF/RCFv4_1688': 0.9220486858767931},{'Models_transcriptions/RCF/RCFv4_1688': 0.9220486858767931},{'Models_transcriptions/RCF/RCFv4_1688': 0.9220486858767931},{'Models_transcriptions/RCF/RCFv4_1688': 58.433309809456595},{'Models_transcriptions/RCF/RCFv4_1688': 20.72832509345231}
{'Models_transcriptions/RCF/RCFv5_1688': 0.09529991180630801},{'Models_transcriptions/RCF/RCFv5_1688': 0.9047000881936911},{'Models_transcriptions/RCF/RCFv5_1688': 0.9047000881936911},{'Models_transcriptions/RCF/RCFv5_1688': 0.9047000881936911},{'Models_transcriptions/RCF/RCFv5_1688': 62.17360621030346},{'Models_transcriptions/RCF/RCFv5_1688': 24.972868684432655}
{'Models_transcriptions/RCF/RCFv6_1688': 0.06968232313750601},{'Models_transcriptions/RCF/RCFv6_1688': 0.9303176768624931},{'Models_transcriptions/RCF/RCFv6_1688': 0.9303176768624931},{'Models_transcriptions/RCF/RCFv6_1688': 0.9303176768624931},{'Models_transcriptions/RCF/RCFv6_1688': 56.386732533521524},{'Models_transcriptions/RCF/RCFv6_1688': 19.01603762209092}
{'Models_transcriptions/Mcfondue/Mcfondue_1756-1758': 0.5706463709667321},{'Models_transcriptions/Mcfondue/Mcfondue_1756-1758': 0.429353629033267},{'Models_transcriptions/Mcfondue/Mcfondue_1756-1758': 0.429353629033267},{'Models_transcriptions/Mcfondue/Mcfondue_1756-1758': 0.429353629033267},{'Models_transcriptions/Mcfondue/Mcfondue_1756-1758': 94.7331705615626},{'Models_transcriptions/Mcfondue/Mcfondue_1756-1758': 35.132839985442196}
{'Models_transcriptions/RCF/RCFv6_1756-1758': 0.21800443068045403},{'Models_transcriptions/RCF/RCFv6_1756-1758': 0.7819955693195451},{'Models_transcriptions/RCF/RCFv6_1756-1758': 0.7819955693195451},{'Models_transcriptions/RCF/RCFv6_1756-1758': 0.7819955693195451},{'Models_transcriptions/RCF/RCFv6_1756-1758': 78.58388559469829},{'Models_transcriptions/RCF/RCFv6_1756-1758': 33.11901006914958}
{'Models_transcriptions/Mcfondue/Mcfondue_1784': 0.040609806092507},{'Models_transcriptions/Mcfondue/Mcfondue_1784': 0.959390193907492},{'Models_transcriptions/Mcfondue/Mcfondue_1784': 0.959390193907492},{'Models_transcriptions/Mcfondue/Mcfondue_1784': 0.959390193907492},{'Models_transcriptions/Mcfondue/Mcfondue_1784': 38.53536226871866},{'Models_transcriptions/Mcfondue/Mcfondue_1784': 9.93744818750471}
{'Models_transcriptions/RCF/RCFv6_1784': 0.056194182011659},{'Models_transcriptions/RCF/RCFv6_1784': 0.9438058179883401},{'Models_transcriptions/RCF/RCFv6_1784': 0.9438058179883401},{'Models_transcriptions/RCF/RCFv6_1784': 0.9438058179883401},{'Models_transcriptions/RCF/RCFv6_1784': 53.82154591042711},{'Models_transcriptions/RCF/RCFv6_1784': 15.437485869319467}
{'Models_transcriptions/RCF/RCFv1_1688': 0.096388602350211},{'Models_transcriptions/RCF/RCFv1_1688': 0.903611397649788},{'Models_transcriptions/RCF/RCFv1_1688': 0.903611397649788},{'Models_transcriptions/RCF/RCFv1_1688': 0.903611397649788},{'Models_transcriptions/RCF/RCFv1_1688': 60.40931545518701},{'Models_transcriptions/RCF/RCFv1_1688': 22.633546364403713}
{'Models_transcriptions/RCF/RCFv2_1688': 0.12100129550997601},{'Models_transcriptions/RCF/RCFv2_1688': 0.878998704490023},{'Models_transcriptions/RCF/RCFv2_1688': 0.878998704490023},{'Models_transcriptions/RCF/RCFv2_1688': 0.878998704490023},{'Models_transcriptions/RCF/RCFv2_1688': 67.18419195483416},{'Models_transcriptions/RCF/RCFv2_1688': 28.07186784034728}
{'Models_transcriptions/RCF/RCFv3_1688': 0.08795807471229601},{'Models_transcriptions/RCF/RCFv3_1688': 0.9120419252877031},{'Models_transcriptions/RCF/RCFv3_1688': 0.9120419252877031},{'Models_transcriptions/RCF/RCFv3_1688': 0.9120419252877031},{'Models_transcriptions/RCF/RCFv3_1688': 62.17360621030346},{'Models_transcriptions/RCF/RCFv3_1688': 24.068491498854456}
{'Models_transcriptions/RCF/RCFv4_1688': 0.07795131412320601},{'Models_transcriptions/RCF/RCFv4_1688': 0.9220486858767931},{'Models_transcriptions/RCF/RCFv4_1688': 0.9220486858767931},{'Models_transcriptions/RCF/RCFv4_1688': 0.9220486858767931},{'Models_transcriptions/RCF/RCFv4_1688': 58.433309809456595},{'Models_transcriptions/RCF/RCFv4_1688': 20.72832509345231}
