Models_name,cosine,WER,CER
Mcfondue_1681-1683,0.12465460322884701,80.15050404657106,39.11844397135668
Mcfondue_1691,0.136738590518756,75.90738423028786,30.413082722735478
Mcfondue_1784,0.040609806092507,38.53536226871866,9.93744818750471
Mcfondue_1681-1784,0.061887857301307005,60.80436855335009,23.51752324206177
Mcfondue_1756-1758,0.5706463709667321,94.7331705615626,35.132839985442196
Mcfondue_1700,0.17935148395605702,78.80676758682101,31.88532982302179
Mcfondue_1693_1700,0.10996224661957901,76.21822033898304,29.225648990459284
RCFv1_1693_1700,0.09450125206586801,69.57097457627118,26.647437319724872
Mcfondue_1757,0.032872772930050004,38.22051433638782,9.233085628248094
RCFv1_1757,0.019180545192010002,34.05261602128289,8.140269075720045
RCFv2_1693_1700,0.11996970252750401,74.65572033898304,31.479920124251166
RCFv2_1757,0.024735393436602002,41.41294708838309,11.282723784545146
RCFv3_1757,0.063997038960412,54.18267809636417,16.576812861236583
RCFv3_1693_1700,0.028074377280971,43.59110169491525,13.33925005546927
RCFv4_1757,0.018352955274433,35.116760271947975,8.48025644761766
Mcfondue_1692,0.156869008891134,79.57413249211356,30.767174552258755
RCFv1_1692,0.129703382889424,70.82018927444796,27.666399358460303
RCFv4_1692,0.09785159257961001,66.24605678233438,23.40283346698744
Mcfondue_1706,0.19800321859632702,79.05236907730674,31.88434695912263
RCFv1_1706,0.20277695454816602,76.55860349127182,30.428713858424725
RCFv4_1706,0.16730214195280402,71.19700748129675,27.517447657028914
Mcfondue_1692-1706-1757,0.040340992144869005,53.841921877865396,17.53611799552681
RCFv1_1692-1706-1757,0.03163105413094,48.853841921877866,15.934232001450765
RCFv4_1692-1706-1757,0.025670965759967003,47.66183752063085,14.740373571903524
Mcfondue_1688,0.125855337278718,71.41848976711363,28.650669239117327
RCFv4_1688,0.07795131412320601,58.433309809456595,20.72832509345231
RCFv5_1688,0.09529991180630801,62.17360621030346,24.972868684432655
RCFv6_1688,0.06968232313750601,56.386732533521524,19.01603762209092
Mcfondue_1756-1758,0.5706463709667321,94.7331705615626,35.132839985442196
RCFv6_1756-1758,0.21800443068045403,78.58388559469829,33.11901006914958
Mcfondue_1784,0.040609806092507,38.53536226871866,9.93744818750471
RCFv6_1784,0.056194182011659,53.82154591042711,15.437485869319467
RCFv1_1688,0.096388602350211,60.40931545518701,22.633546364403713
RCFv2_1688, 0.12100129550997601,67.18419195483416,28.07186784034728
RCFv3_1688,0.08795807471229601,62.17360621030346,24.068491498854456
