cosine,dice,jaccard,braycurtis,WER,CER
{'/home/marine/Documents/HTR/tecquel/HYP/MSS17/RCFv7': 0.09236704220186401},{'/home/marine/Documents/HTR/tecquel/HYP/MSS17/RCFv7': 0.907632957798135},{'/home/marine/Documents/HTR/tecquel/HYP/MSS17/RCFv7': 0.907632957798135},{'/home/marine/Documents/HTR/tecquel/HYP/MSS17/RCFv7': 0.907632957798135},{'/home/marine/Documents/HTR/tecquel/HYP/MSS17/RCFv7': 72.19641672196417},{'/home/marine/Documents/HTR/tecquel/HYP/MSS17/RCFv7': 28.312718234006038}
{'/home/marine/Documents/HTR/tecquel/HYP/MSS17/RCFv8': 0.09541315222491101},{'/home/marine/Documents/HTR/tecquel/HYP/MSS17/RCFv8': 0.904586847775088},{'/home/marine/Documents/HTR/tecquel/HYP/MSS17/RCFv8': 0.904586847775088},{'/home/marine/Documents/HTR/tecquel/HYP/MSS17/RCFv8': 0.904586847775088},{'/home/marine/Documents/HTR/tecquel/HYP/MSS17/RCFv8': 70.10617120106171},{'/home/marine/Documents/HTR/tecquel/HYP/MSS17/RCFv8': 26.418890927383558}
{'/home/marine/Documents/HTR/tecquel/HYP/MSS17/Mcfondue': 0.042698816806896},{'/home/marine/Documents/HTR/tecquel/HYP/MSS17/Mcfondue': 0.9573011831931031},{'/home/marine/Documents/HTR/tecquel/HYP/MSS17/Mcfondue': 0.9573011831931031},{'/home/marine/Documents/HTR/tecquel/HYP/MSS17/Mcfondue': 0.9573011831931031},{'/home/marine/Documents/HTR/tecquel/HYP/MSS17/Mcfondue': 55.64034505640345},{'/home/marine/Documents/HTR/tecquel/HYP/MSS17/Mcfondue': 15.292655500976505}
{'/home/marine/Documents/HTR/tecquel/HYP/MSS17/Mcfrench': 0.01440718712394},{'/home/marine/Documents/HTR/tecquel/HYP/MSS17/Mcfrench': 0.985592812876059},{'/home/marine/Documents/HTR/tecquel/HYP/MSS17/Mcfrench': 0.985592812876059},{'/home/marine/Documents/HTR/tecquel/HYP/MSS17/Mcfrench': 0.985592812876059},{'/home/marine/Documents/HTR/tecquel/HYP/MSS17/Mcfrench': 20.53749170537492},{'/home/marine/Documents/HTR/tecquel/HYP/MSS17/Mcfrench': 6.048410960525537}
{'/home/marine/Documents/HTR/tecquel/HYP/McF_FT_320p': 0.027182523083541},{'/home/marine/Documents/HTR/tecquel/HYP/McF_FT_320p': 0.972817476916458},{'/home/marine/Documents/HTR/tecquel/HYP/McF_FT_320p': 0.972817476916458},{'/home/marine/Documents/HTR/tecquel/HYP/McF_FT_320p': 0.972817476916458},{'/home/marine/Documents/HTR/tecquel/HYP/McF_FT_320p': 36.908962597035995},{'/home/marine/Documents/HTR/tecquel/HYP/McF_FT_320p': 10.756059327143374}
{'/home/marine/Documents/HTR/tecquel/HYP/MCF_FT_RCF_220p': 0.031132775872066},{'/home/marine/Documents/HTR/tecquel/HYP/MCF_FT_RCF_220p': 0.968867224127933},{'/home/marine/Documents/HTR/tecquel/HYP/MCF_FT_RCF_220p': 0.968867224127933},{'/home/marine/Documents/HTR/tecquel/HYP/MCF_FT_RCF_220p': 0.968867224127933},{'/home/marine/Documents/HTR/tecquel/HYP/MCF_FT_RCF_220p': 37.96753705010586},{'/home/marine/Documents/HTR/tecquel/HYP/MCF_FT_RCF_220p': 12.17894609911974}
{'/home/marine/Documents/HTR/tecquel/HYP/MCF_FT_RCF_1695': 0.039066304619557006},{'/home/marine/Documents/HTR/tecquel/HYP/MCF_FT_RCF_1695': 0.960933695380442},{'/home/marine/Documents/HTR/tecquel/HYP/MCF_FT_RCF_1695': 0.960933695380442},{'/home/marine/Documents/HTR/tecquel/HYP/MCF_FT_RCF_1695': 0.960933695380442},{'/home/marine/Documents/HTR/tecquel/HYP/MCF_FT_RCF_1695': 32.657200811359026},{'/home/marine/Documents/HTR/tecquel/HYP/MCF_FT_RCF_1695': 10.013670539986329}
{'/home/marine/Documents/HTR/tecquel/HYP/MCF_FT_1695': 0.027485602723343},{'/home/marine/Documents/HTR/tecquel/HYP/MCF_FT_1695': 0.9725143972766561},{'/home/marine/Documents/HTR/tecquel/HYP/MCF_FT_1695': 0.9725143972766561},{'/home/marine/Documents/HTR/tecquel/HYP/MCF_FT_1695': 0.9725143972766561},{'/home/marine/Documents/HTR/tecquel/HYP/MCF_FT_1695': 20.689655172413794},{'/home/marine/Documents/HTR/tecquel/HYP/MCF_FT_1695': 5.8441558441558445}
{'/home/marine/Documents/HTR/tecquel/HYP/RCFv7_1695': 0.066357121082369},{'/home/marine/Documents/HTR/tecquel/HYP/RCFv7_1695': 0.9336428789176301},{'/home/marine/Documents/HTR/tecquel/HYP/RCFv7_1695': 0.9336428789176301},{'/home/marine/Documents/HTR/tecquel/HYP/RCFv7_1695': 0.9336428789176301},{'/home/marine/Documents/HTR/tecquel/HYP/RCFv7_1695': 45.63894523326572},{'/home/marine/Documents/HTR/tecquel/HYP/RCFv7_1695': 13.636363636363637}
{'/home/marine/Documents/HTR/tecquel/HYP/MCF_1695': 0.141870957855272},{'/home/marine/Documents/HTR/tecquel/HYP/MCF_1695': 0.8581290421447271},{'/home/marine/Documents/HTR/tecquel/HYP/MCF_1695': 0.8581290421447271},{'/home/marine/Documents/HTR/tecquel/HYP/MCF_1695': 0.8581290421447271},{'/home/marine/Documents/HTR/tecquel/HYP/MCF_1695': 64.90872210953347},{'/home/marine/Documents/HTR/tecquel/HYP/MCF_1695': 21.975393028024605}
{'/home/marine/Documents/HTR/tecquel/HYP/MCF_FT_basic_1695': 0.071248581681306},{'/home/marine/Documents/HTR/tecquel/HYP/MCF_FT_basic_1695': 0.9287514183186931},{'/home/marine/Documents/HTR/tecquel/HYP/MCF_FT_basic_1695': 0.9287514183186931},{'/home/marine/Documents/HTR/tecquel/HYP/MCF_FT_basic_1695': 0.9287514183186931},{'/home/marine/Documents/HTR/tecquel/HYP/MCF_FT_basic_1695': 45.436105476673426},{'/home/marine/Documents/HTR/tecquel/HYP/MCF_FT_basic_1695': 13.738892686261106}
{'/home/marine/Documents/HTR/tecquel/HYP/MCF_FT_1695': 0.027485602723343},{'/home/marine/Documents/HTR/tecquel/HYP/MCF_FT_1695': 0.9725143972766561},{'/home/marine/Documents/HTR/tecquel/HYP/MCF_FT_1695': 0.9725143972766561},{'/home/marine/Documents/HTR/tecquel/HYP/MCF_FT_1695': 0.9725143972766561},{'/home/marine/Documents/HTR/tecquel/HYP/MCF_FT_1695': 20.689655172413794},{'/home/marine/Documents/HTR/tecquel/HYP/MCF_FT_1695': 5.8441558441558445}
{'/home/marine/Documents/HTR/tecquel/HYP/MCF_FT_basic_1688': 0.048158508565497006},{'/home/marine/Documents/HTR/tecquel/HYP/MCF_FT_basic_1688': 0.951841491434502},{'/home/marine/Documents/HTR/tecquel/HYP/MCF_FT_basic_1688': 0.951841491434502},{'/home/marine/Documents/HTR/tecquel/HYP/MCF_FT_basic_1688': 0.951841491434502},{'/home/marine/Documents/HTR/tecquel/HYP/MCF_FT_basic_1688': 47.424135497529996},{'/home/marine/Documents/HTR/tecquel/HYP/MCF_FT_basic_1688': 15.482937417098759}
{'/home/marine/Documents/HTR/tecquel/HYP/McF_FT_320p': 0.027182523083541},{'/home/marine/Documents/HTR/tecquel/HYP/McF_FT_320p': 0.972817476916458},{'/home/marine/Documents/HTR/tecquel/HYP/McF_FT_320p': 0.972817476916458},{'/home/marine/Documents/HTR/tecquel/HYP/McF_FT_320p': 0.972817476916458},{'/home/marine/Documents/HTR/tecquel/HYP/McF_FT_320p': 36.908962597035995},{'/home/marine/Documents/HTR/tecquel/HYP/McF_FT_320p': 10.756059327143374}
{'/home/marine/Documents/HTR/tecquel/HYP/Mcfonduev2_1688': 0.09302932881764},{'/home/marine/Documents/HTR/tecquel/HYP/Mcfonduev2_1688': 0.9069706711823591},{'/home/marine/Documents/HTR/tecquel/HYP/Mcfonduev2_1688': 0.9069706711823591},{'/home/marine/Documents/HTR/tecquel/HYP/Mcfonduev2_1688': 0.9069706711823591},{'/home/marine/Documents/HTR/tecquel/HYP/Mcfonduev2_1688': 54.19901199717714},{'/home/marine/Documents/HTR/tecquel/HYP/Mcfonduev2_1688': 19.811889545399733}
{'/home/marine/Documents/HTR/tecquel/HYP/Mcfondue/Mcfondue_1688': 0.125855337278718},{'/home/marine/Documents/HTR/tecquel/HYP/Mcfondue/Mcfondue_1688': 0.8741446627212811},{'/home/marine/Documents/HTR/tecquel/HYP/Mcfondue/Mcfondue_1688': 0.8741446627212811},{'/home/marine/Documents/HTR/tecquel/HYP/Mcfondue/Mcfondue_1688': 0.8741446627212811},{'/home/marine/Documents/HTR/tecquel/HYP/Mcfondue/Mcfondue_1688': 71.41848976711363},{'/home/marine/Documents/HTR/tecquel/HYP/Mcfondue/Mcfondue_1688': 28.650669239117327}
{'/home/marine/Documents/HTR/tecquel/HYP/RCFv7_1688': 0.046763816464072},{'/home/marine/Documents/HTR/tecquel/HYP/RCFv7_1688': 0.9532361835359271},{'/home/marine/Documents/HTR/tecquel/HYP/RCFv7_1688': 0.9532361835359271},{'/home/marine/Documents/HTR/tecquel/HYP/RCFv7_1688': 0.9532361835359271},{'/home/marine/Documents/HTR/tecquel/HYP/RCFv7_1688': 49.47071277346507},{'/home/marine/Documents/HTR/tecquel/HYP/RCFv7_1688': 16.423489690100084}
